,text,label
0,孩子学校有阳的，是前期家里网课保护的太好，漏网之鱼。现在开学了，跑不掉了。,2
1,人民群众压力也很大。,2
2,看来张珊珊还没落网啊,2
3,相信用不了多长时间，我们就可以挺过最艰难的时段！挺住，加油！,0
4,咱就是说，学校就是个垃圾学校，领导就是个垃圾领导，老师去做核酸检测，阳了就是为了偷懒请假，真的寒心这句话；管你啥症状，就是得上完课，完全不顾老师学生死活的老师提意见就是没领导回复。,2
5,上个月才和我二奶奶打电话，说年后带我的宝宝去看她。都约好了的，没想到就是永别了。12月中旬打的电话，12月27号她就去世了。一直都是看热搜不断有老人去世，没想到一下子就发生在自己身边了。也不知道我奶奶有没有得新冠。大过年的对老人好点吧！,1
6,专家学者用科学结论为国家提供决策参考，俗话说，他山之石可以攻玉。对于疫情防控方面的这种批评，我们一些专家还是需要认真反思的。国家给了你们待遇和位置，你们是应该静下心来认真做实实在在的研究工作，而不是到处抛头露面和大放厥词。因为那些专家的研究成果会影响政府决策措施和老百姓抗疫的态度方法。,1
7,不会有人跟我一样，低烧没药吃，只能熬到38.5以上吃了布洛芬才能睡，但这样持续了三个晚上，已经绷不住了，第四个晚上诊所在呼唤我“没关系，我会出手…”药效上来了，晚安家人们,1
8,这不是掩耳盗铃吗,2
9,一切回归正常吧！魔幻的十一月终将结束！,1
10,我没打过疫苗，现在都还没阳过，所以还是很少去人多的地方，出门戴口罩，回家喷酒精。,1
11,快快好起来吧。,0
12,那些高风险有感染者的地方还是被封着呢，所以有些担心的人不必过于担心。,1
13,当初要求重新封控的那批网友，现在再也不出来说话了。,1
14,大病求助沈阳的夜景还是很美！心情放松的逛了一圈！爷爷奶奶很平稳！他们的老年基础病没有对他们有很大的影响，虽然暂停了一些药！感谢冯医生，感谢护士小姐姐！更要感谢卖药的大哥！虽然辉瑞药是国外的，你不是神药！但却真的帮爷爷奶奶减轻了痛苦，希望没有其它的后遗症！在这里对你们说感谢,0
15,正常？去医院复诊都要48小时！去医院之前先排队1个钟再等8个钟先可以去医院！这叫正常？非常不方便咯！,2
16,说真的，群众的压力也不小。朋友老家在河南的一个小县城，今年疫情断断续续，基本没上几天班，到手的工资屈指可数。但是，车贷房贷是要还的，加上生活开销，这都不是一个小问题。而且，疫情持续时间长，工作难找，工资和待遇也开始下降，对很多普通百姓来说，疫情期间维持最基本的生活就很不错了。,1
17,抗疫抗感染小套餐：从外面回到家，用氢负离子饮用水溶盐水，喷鼻子簌口润嗓子，保持口腔鼻腔咽部长期碱性。喝柠檬水也不错！健康。,1
