evaluation,label,正面为0，中立为1，负面为2,,,,,,,,,,,,,,,,,,,
近期没有什么好玩的事，就是放开了不敢随便乱逛，走两步就得消消毒，随身携带消毒水。,1,1,,,,,,,,,,,,,,,,,,,
会是最后一次了么？三年过去了，这三年不能说没有埋怨，但是真的到这一天，还是心里五味杂陈的，政策也被周围人和网上一些人怀疑，一直吵得不可开交。刚才发布会提到吴凡主任，想想那两个月，大家的态度……最终事实会给大家答案，愿大家未来一切都好吧……未来可能还是有更多挑战，钱还要挣，新冠解开了以后大家各自努力吧！,1,1,,,,,,,,,,,,,,,,,,,
自从近期新冠疫情大范围传播以来，我隔壁邻居再也不从早到晚，无时无刻地念诵“阿弥陀佛”了，这个世界清净多了。,"0,49,53","0,49,53",,,,,,,,,,,,,,,,,,,
受疫情影响，今年的樱花季都没有去看。在樱花满开之前，就被封闭了如今解封了却依旧危机四伏希望疫情早日结束。,1,1,,,,,,,,,,,,,,,,,,,
这么冷的天气，外面除了咳嗽没有别的。,"2,10,18","2,10,18",,,,,,,,,,,,,,,,,,,
坦然处之，刚开始的紧张担心是必然的，但这个心理建设过程很短，3天左右就都乐观了，因为大家都阳了。,"0,37,39","0,37,39",,,,,,,,,,,,,,,,,,,
全汕头买不到美林，在淘宝买的退烧冲剂也不发货。专家说备着药在家，预防预防我只能说靠抵抗力在预防新冠了。,"2,4,7,20,23,41,50","2,4,7,20,23,41,50",,,,,,,,,,,,,,,,,,,
疫情放开了，身边都是小阳人，放开之后街上的行人反倒是口罩戴的越来越好了，这么好的天气，晒晒太阳，借紫外线杀杀菌。,1,1,,,,,,,,,,,,,,,,,,,
是不是所有创造不出来经济价值的人都该死啊？所以我们只能眼睁睁看着一个又一个有基础病的老人因为新冠去世，一个又一个需要透析但是去不了医院的人耽误了病情离世，不是说好了要关爱老弱病残，一切以他们为先吗？那儿童医院门外4000元一瓶的美林又是什么呢？接下来又轮到谁了呢？是春运过后乡下留守的老人吗？还是苦苦买不到药的穷人呢？这是在进行着什么淘汰制度吗？是这些人就不配在疫情下活着吗？这个世界好残忍。,"2,17,20,193,196","2,17,20,193,196",,,,,,,,,,,,,,,,,,,
阳过一次，复阳的几率有多少？二次感染会不会加重病情？,1,1,,,,,,,,,,,,,,,,,,,
该死的大开放让毫无防备且有小宝宝的我终日惶恐不安我们早晚都得阳 但是为了弱小的宝宝咱们必须晚点阳。,"2,0,2,21,25","2,0,2,21,25",,,,,,,,,,,,,,,,,,,
不要轻易相信自媒体言论，每个人情况不一样，不可能症状一致、治疗方法一致。,1,1,,,,,,,,,,,,,,,,,,,
三年疫情，在新冠传播带来的痛苦乃至死亡面前，乱相环生。最近，读了麦家的《人生海海》，一本不轻松的小说，讲述那个乱世的故事与险恶的人性。人生海海，有潮起必有潮落。在潮起时活的潇洒灿烂，在潮落时过得平凡坚毅。人生海海，死了不是勇气。经历过所有后仍旧活着才是真正的勇气。,1,1,,,,,,,,,,,,,,,,,,,
相信用不了多长时间，我们就可以挺过最艰难的时段！挺住，加油！,"0,28,30","0,28,30",,,,,,,,,,,,,,,,,,,
明天打算上班去了，抗原家里只有几个，从有症状到今天11天了，应该转阴了吧？最近阳了很多，发现宝妈群里又是那一堆人，宣传给孩子吃了什么中成药，什么小柴胡颗粒，什么小儿复方啥啥啥大猛药，什么止咳的流鼻涕的甚至消炎的。我以前看到尽量科普，现在真的有心无力，爱咋吃吧，以前不知道循证的时候，自己也是那么吃，反正咱小时候也都这么吃过来了不是？科普只渡有缘人。,1,1,,,,,,,,,,,,,,,,,,,
新冠的症状，是心里问题，专家说的。建议老胡去看精神病医生，一方面可以治新冠，一方面可以不挤普通医疗机构资源。,"2,22,29","2,22,29",,,,,,,,,,,,,,,,,,,
很多老科学家走了，很多老革命走了，很多为我国呕心沥血的老人家走了。他们走过了多少坚难险阻，却趟不过新冠。,"2,47,52","2,47,52",,,,,,,,,,,,,,,,,,,
现在，请大家自行去点击发布时间段为11月的疫情相关热搜词条，查看那些发布了反对封控言论的账号有多少在12月初开始就销声匿迹了。其中有多少又是仅仅在22年下半年才有使用痕迹的，仔细想一想当初点燃你情绪的人到底是谁？仔细想一想当初煽动你愤怒的人到底是谁？那些藏在人民队伍里喊口号的人到底是谁？我不帮你下结论，你自己认真去看就可以得出结？,"2,102,106","2,102,106",,,,,,,,,,,,,,,,,,,
这几天，头条上老专家教授去世的新闻越来越多，真的不想再说什么。就是搞不懂为什么我们的政策会突然转向？在全国人民还没做好准备的情况下突然放开？网上的质疑越来越多了。,"2,74,76","2,74,76",,,,,,,,,,,,,,,,,,,
频频断货的连花清瘟是如何治疗新冠的？可有替代品？,1,1,,,,,,,,,,,,,,,,,,,
